Date,Open,High,Low,Close,Adj Close,Volume
2018-12-24,35859.660156,36194.781250,35010.820313,36076.718750,36076.718750,36741900
2018-12-31,36239.191406,36285.460938,35382.078125,35695.101563,35695.101563,39223800
2019-01-07,35971.179688,36269.308594,35753.949219,36009.839844,36009.839844,48419100
2019-01-14,36113.269531,36469.980469,35691.750000,36386.609375,36386.609375,105800
2019-01-21,36467.121094,36701.031250,35953.148438,36025.539063,36025.539063,96400
2019-01-28,36099.621094,36778.140625,35375.511719,36469.429688,36469.429688,86086000
2019-02-04,36456.218750,37172.179688,36225.480469,36546.480469,36546.480469,28088200
2019-02-11,36585.500000,36588.410156,35510.968750,35808.949219,35808.949219,101800
2019-02-18,35831.179688,35983.070313,35287.160156,35871.480469,35871.480469,68300
2019-02-25,35983.800781,36371.109375,35714.160156,36063.808594,36063.808594,77600
2019-03-04,36141.070313,36830.250000,35926.941406,36671.429688,36671.429688,68500
2019-03-11,36741.570313,38254.769531,36726.390625,38024.320313,38024.320313,86800
2019-03-18,38132.960938,38564.710938,37952.101563,38164.609375,38164.609375,64800
2019-03-25,38016.761719,38748.539063,37667.398438,38672.910156,38672.910156,81200
2019-04-01,38858.878906,39270.140625,38581.039063,38862.230469,38862.230469,85400
2019-04-08,38993.601563,39041.250000,38460.250000,38767.109375,38767.109375,73300
2019-04-15,38805.539063,39487.449219,38780.078125,39140.281250,39140.281250,49900
2019-04-22,39158.218750,39262.218750,38518.261719,39067.328125,39067.328125,73400
2019-04-29,39056.921875,39189.949219,38753.460938,38963.261719,38963.261719,71900
2019-05-06,38719.328125,38835.539063,37370.390625,37462.988281,37462.988281,77100
2019-05-13,37491.300781,38001.128906,36956.101563,37930.769531,37930.769531,89400
2019-05-20,38701.179688,40124.960938,38570.039063,39434.718750,39434.718750,109900
2019-05-27,39536.230469,40122.339844,39353.160156,39714.199219,39714.199219,78700
2019-06-03,39806.859375,40312.070313,39279.468750,39615.898438,39615.898438,80000
2019-06-10,39787.328125,40066.308594,39363.449219,39452.070313,39452.070313,84500
2019-06-17,39514.359375,39638.640625,38870.960938,39194.488281,39194.488281,84700
2019-06-24,39160.230469,39817.218750,38946.039063,39394.640625,39394.640625,62300
2019-07-01,39543.730469,40032.410156,39441.378906,39513.390625,39513.390625,79900
2019-07-08,39476.378906,39476.378906,38435.871094,38736.230469,38736.230469,83200
2019-07-15,39009.949219,39284.730469,38271.351563,38337.011719,38337.011719,109800
2019-07-22,38333.519531,38333.519531,37690.468750,37882.789063,37882.789063,101000
2019-07-29,38043.218750,38043.218750,36607.410156,37118.218750,37118.218750,120200
